Date	Open_BTC	High_BTC	Low_BTC	Close_BTC	Volume_BTC	Open_LTC	High_LTC	Low_LTC	Close_LTC	Volume_LTC	Open_ETH	High_ETH	Low_ETH	Close_ETH	Volume_ETH	Open_XRP	High_XRP	Low_XRP	Close_XRP	Volume_XRP	Open_BCH	High_BCH	Low_BCH	Close_BCH	Volume_BCH	Open_ADA	High_ADA	Low_ADA	Close_ADA	Volume_ADA	Open_XLM	High_XLM	Low_XLM	Close_XLM	Volume_XLM	Open_EOS	High_EOS	Low_EOS	Close_EOS	Volume_EOS	Open_XEM	High_XEM	Low_XEM	Close_XEM	Volume_XEM	Open_NEO	High_NEO	Low_NEO	Close_NEO	Volume_NEO	Open_IOT	High_IOT	Low_IOT	Close_IOT	Volume_IOT	Open_DASH	High_DASH	Low_DASH	Close_DASH	Volume_DASH	Open_XMR	High_XMR	Low_XMR	Close_XMR	Volume_XMR	Open_TRX	High_TRX	Low_TRX	Close_TRX	Volume_TRX	n-transactions	transactions-per-second	hash-rate	output-volume	mempool-size	market-cap	cost-per-transaction-percent	utxo-count	bitcoin-unlimited-share	n-transactions-excluding-popular	median-confirmation-time	n-orphaned-blocks	mempool-growth	cost-per-transaction	blocks-size	transaction-fees	estimated-transaction-volume-usd	avg-block-size	estimated-transaction-volume	mempool-count	nya-support	bip-9-segwit	miners-revenue	difficulty	trade-volume	total-bitcoins	n-unique-addresses	n-transactions-excluding-chains-longer-than-100	my-wallet-n-users	n-transactions-total	transaction-fees-usd	n-transactions-per-block
2017-02-01	965.48999	986.570007	959.820007	982.429993	44035816	4.02	4.06	3.96	4.0	476370	10.71	10.87	10.53	10.71	2367496.0	0.006409999999999999	0.0066	0.006229999999999999	0.006490000000000001	39527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002149	0.0024809999999999997	0.002149	0.0024809999999999997	154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.94	16.01	15.45	15.69	44842	13.26	13.37	12.9	13.25	192846.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35717457.43385989	0.0	0.0	0.0	11699453.0	0.0	0.0	0.0
2017-02-02	982.429993	1009.1300050000001	973.5	1003.9699710000001	50633910	4.0	4.04	3.93	4.03	468931	10.71	10.92	10.57	10.78	2738130.0	0.006490000000000001	0.0066099999999999996	0.0064	0.0064	19550.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024809999999999997	0.002483	0.002215	0.002215	2224.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.69	16.01	15.52	16.01	38290	13.25	13.43	13.0	13.09	189543.0	0.0	0.0	0.0	0.0	0.0	259559.0	0.0	3066886.6269284827	1851685.66567972	0.0	16260607102.5	1.0190176383111402	0.0	0.0	254199.0	15.349999999999998	0.0	0.0	8.169148739618791	100825.47278900006	142.30055361	208080409.7975085	0.913956592356688	206551.92554845	0.0	0.0	0.0	2047540.5	392963262344.0	0.0	16141162.5	452585.0	171605.0	11722629.0	193115779.0	143353.57770671402	1653.2420382165603
2017-02-03	1003.9699710000001	1023.7199710000001	989.2100220000001	1013.0200199999999	62431017	4.03	4.06	3.91	3.99	567884	10.78	10.95	10.55	10.95	2590189.0	0.0064	0.006490000000000001	0.00624	0.006379999999999999	18767.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002215	0.002457	0.002215	0.002292	1090.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.01	17.200001	15.93	16.9	81203	13.09	13.25	12.08	12.92	249850.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54515239.48692956	0.0	0.0	0.0	11744910.0	0.0	0.0	0.0
2017-02-04	1013.0200199999999	1041.040039	1000.409973	1031.849976	40406542	3.99	4.02	3.89	3.96	365624	10.95	11.4	10.88	11.32	2507121.0	0.006379999999999999	0.00647	0.00635	0.00644	6751.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002292	0.002292	0.002292	0.002292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.9	17.17	16.709999	16.879998999999998	33545	12.92	13.12	12.37	12.75	248915.0	0.0	0.0	0.0	0.0	0.0	286326.0	0.0	3043000.8428698913	2125684.60324484	0.0	16666302847.5	0.9164780517902914	0.0	0.0	281343.0	21.35	1.0	0.0	7.037076222422707	101108.23344300006	139.35303348	219852279.33450317	0.952473055172414	212973.24356728	0.0	0.0	0.0	1935046.35	393567551403.4276	0.0	16144825.0	500098.0	195848.0	11766900.0	193725668.0	143854.13646140398	1974.6620689655167
2017-02-05	1031.849976	1033.660034	1004.0499880000001	1016.1099849999999	31669956	3.96	4.03	3.9	3.97	209078	11.32	11.39	11.1	11.22	904300.0	0.00644	0.00648	0.00628	0.00629	11460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002292	0.002442	0.002292	0.002442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.879998999999998	17.049999	16.27	16.51	89036	12.75	12.92	12.6	12.61	49766.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32909742.49056232	0.0	0.0	0.0	11788875.0	0.0	0.0	0.0
2017-02-06	1016.1099849999999	1030.599976	1010.830017	1024.670044	32828350	3.97	3.96	3.89	3.93	177895	11.22	11.39	11.18	11.32	970692.0	0.00629	0.00644	0.00627	0.006379999999999999	5592.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002442	0.002442	0.0023420000000000003	0.0023420000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.51	16.709999	16.190001000000002	16.5	40715	12.61	12.81	12.48	12.8	64883.0	0.0	0.0	0.0	0.0	0.0	230027.0	0.0	2623276.58868094	1679402.41655712	0.0	16511713437.5	0.8030801747652437	0.0	0.0	225330.0	18.283333333333328	0.0	0.0	7.6342011211265435	101382.94680000006	154.93020175	218667131.4358756	0.97920132	213855.38526736	0.0	0.0	0.0	1694793.75	422170566883.0	0.0	16148375.0	440409.0	151760.0	11811899.0	194247796.0	158416.131289375	1840.2160000000001
2017-02-07	1024.670044	1054.099976	1019.8699949999999	1049.560059	41318349	3.93	3.98	3.89	3.93	384195	11.32	11.55	11.26	11.45	1481700.0	0.006379999999999999	0.00647	0.00626	0.006409999999999999	18963.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023420000000000003	0.002346	0.002275	0.002275	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	17.120001000000002	16.42	16.82	52417	12.8	13.13	12.5	12.6	156221.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40471212.353163786	0.0	0.0	0.0	11835231.0	0.0	0.0	0.0
2017-02-08	1049.560059	1069.22998	1020.330017	1055.48999	68336320	3.93	3.98	3.84	3.93	360107	11.45	11.6	11.11	11.39	1842031.0	0.006409999999999999	0.00648	0.0060799999999999995	0.00635	36811.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002275	0.002381	0.0022	0.0022	1695.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.82	16.940001000000002	16.48	16.889999	39390	12.6	12.87	12.36	12.56	125598.0	0.0	0.0	0.0	0.0	0.0	308316.0	0.0	3063987.0555793373	1959826.10628621	0.0	16925772491.250004	0.7737431135373025	0.0	0.0	302557.0	13.033333333333333	0.0	0.0	6.736885784157865	101666.06938700008	157.14493504	268446935.56400603	0.9611287191780822	256176.10035691	0.0	0.0	0.0	2002536.9	422170566883.0	0.0	16152087.5	516490.0	209157.0	11857977.0	194881380.0	164672.17742841606	2111.7534246575337
2017-02-09	1055.48999	1073.030029	924.650024	978.9600220000001	145839317	3.93	3.95	3.49	3.67	1671232	11.39	11.49	10.53	10.94	3312153.0	0.00635	0.00643	0.00609	0.00628	46646.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.0022010000000000003	0.0020559999999999997	0.0020559999999999997	5857.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.889999	17.040001	15.33	16.049999	133654	12.56	12.85	11.74	12.05	230362.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141974564.61620772	0.0	0.0	0.0	11880316.0	0.0	0.0	0.0
2017-02-10	978.9600220000001	1005.599976	947.0200199999999	997.6099849999999	60639111	3.67	3.79	3.56	3.76	610452	10.94	11.44	10.81	11.34	1955534.0	0.00628	0.00635	0.00595	0.0063100000000000005	36954.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020559999999999997	0.002184	0.0020559999999999997	0.0021809999999999998	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.049999	17.139999	15.9	16.91	45709	12.05	12.36	11.9	12.28	130917.0	0.0	0.0	0.0	0.0	0.0	304456.0	0.0	3105959.480998233	2778948.34104064	0.0	16112416198.75	0.6712356721096121	0.0	0.0	299823.0	10.433333333333334	1.0	0.0	6.522243607426809	101970.86580400007	141.11220269	295832936.5156964	0.9677519797297296	296633.84790504	0.0	0.0	0.0	1914816.0	422170566883.0	0.0	16156037.5	507435.0	198306.0	11901993.0	195532380.0	140731.199742737	2057.135135135135
2017-02-11	997.6099849999999	1014.320007	983.929993	1008.320007	28504495	3.76	3.83	3.75	3.81	140264	11.34	11.45	11.28	11.43	1131595.0	0.0063100000000000005	0.0064	0.00627	0.006379999999999999	9104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021809999999999998	0.0023190000000000003	0.002173	0.0023190000000000003	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.91	17.17	16.76	17.059998999999998	26841	12.28	12.5	12.22	12.48	59016.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29598254.94199764	0.0	0.0	0.0	11922903.0	0.0	0.0	0.0
2017-02-12	1008.320007	1007.820007	992.4500119999999	996.5200199999999	14825023	3.81	3.79	3.71	3.73	157667	11.43	11.49	11.34	11.42	679904.0	0.006379999999999999	0.0064	0.00627	0.00627	4108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023190000000000003	0.0023190000000000003	0.0018920000000000002	0.002168	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.059998999999998	17.1	16.639999	16.809998999999998	20502	12.48	12.5	12.16	12.41	47115.0	0.0	0.0	0.0	0.0	0.0	238182.0	0.0	2959055.9920321	956506.55591642	0.0	16104421019.75	1.5910587441431625	0.0	0.0	235095.0	13.975	1.0	0.0	7.804461051328991	102227.12445700009	102.74261946	116833030.14237297	0.8674449078014184	117232.79396981	0.0	0.0	0.0	1790373.935	422170566883.0	0.0	16159525.0	422084.0	166527.0	11943593.0	196033248.0	102392.2671276414	1689.2340425531916
2017-02-13	996.5200199999999	1007.6099849999999	975.099976	995.3599849999999	32785064	3.73	3.76	3.67	3.74	217411	11.42	11.49	11.19	11.39	1044736.0	0.00627	0.00635	0.0062	0.00624	31421.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002168	0.002168	0.002168	0.002168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.809998999999998	16.91	16.440001000000002	16.719998999999998	15374	12.41	12.44	12.24	12.39	69891.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29689012.949139357	0.0	0.0	0.0	11965919.0	0.0	0.0	0.0
2017-02-14	995.3599849999999	1013.7999880000001	986.4600220000001	1008.340027	39810076	3.74	3.8	3.69	3.8	264094	11.39	14.05	11.32	13.0	8633943.0	0.00624	0.006379999999999999	0.00621	0.006220000000000001	29378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002168	0.002168	0.0018920000000000002	0.0018920000000000002	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.719998999999998	18.280001000000002	16.6	18.040001	60683	12.39	13.15	12.17	13.02	168762.0	0.0	0.0	0.0	0.0	0.0	315084.0	0.0	3546669.9478966305	1925169.97318271	0.0	16370570040.0	0.9919894303698471	0.0	0.0	311031.0	12.775000000000002	0.0	0.0	7.243579504840004	102525.04971100007	140.99131586	230076645.45902237	0.8847332662721894	227168.88374706	0.0	0.0	0.0	2198282.4	422170566883.0	0.0	16163675.0	530239.0	207875.0	11987965.0	196636622.0	142796.00470300802	1864.4023668639054
2017-02-15	1008.340027	1010.929993	999.7299800000001	1008.1900019999999	23569549	3.8	3.84	3.75	3.81	328590	13.0	13.68	12.63	12.97	3998609.0	0.006220000000000001	0.00627	0.0058	0.0061	92550.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018920000000000002	0.001984	0.0018920000000000002	0.001894	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.040001	19.52	17.59	19.389999	98106	13.02	13.8	12.86	13.8	373104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22919392.2049625	0.0	0.0	0.0	12009557.0	0.0	0.0	0.0
